,Trajectory,Drug,Disease list,Disease Consensus Name List
1536,190,Proguanil,"['M54', 'G54', 'L50', 'M71', 'M76']","['dorsalgia', 'nerve root and plexus disorders', 'urticaria', 'bursopathies', 'enthesopathies of lower limb, excluding foot']"
1537,448,Norfloxacin,"['F32', 'F33', 'F41', 'F43', 'F45']","['depressive episode', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders']"
1538,302,Alfuzosin,"['G30', 'F00']","[""alzheimer's disease"", ""dementia in alzheimer's disease""]"
1539,59,Nitric Oxide,"['F91', 'F90', 'F98']","['conduct disorders', 'hyperkinetic disorders', 'behavioural and emotional disorders with onset usually occurring in childhood and adolescence']"
1540,149,Levamlodipine,"['J44', 'J98']","['chronic obstructive pulmonary disease', 'respiratory disorders']"
1541,379,Alfacalcidol,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
1542,131,Sodium ferric gluconate complex,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
1543,3,Fluocinonide,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
1544,410,Sulfasalazine,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
1545,195,Bortezomib,"['E78', 'G45', 'G51', 'H81', 'I72', 'I77', 'K75']","['disorders of lipoprotein metabolism and lipidaemias', 'transient cerebral ischaemic attacks and related syndromes', 'facial nerve disorders', 'disorders of vestibular function', 'aneurysm', 'disorders of arteries and arterioles', 'inflammatory liver diseases']"
1546,443,Ipecac,"['D75', 'D64', 'D68', 'E21', 'E83']","['diseases of blood and blood-forming organs', 'anaemias', 'coagulation defects', 'hyperparathyroidism and disorders of parathyroid gland', 'disorders of mineral metabolism']"
1547,239,Nicergoline,"['K76', 'A04', 'D61', 'E55', 'K46', 'K55', 'K75']","['diseases of liver', 'bacterial intestinal infections', 'aplastic anaemias', 'vitamin d deficiency', 'abdominal hernia', 'vascular disorders of intestine', 'inflammatory liver diseases']"
1548,378,Homatropine Methylbromide,"['F10', 'F13', 'F31', 'F60', 'G31', 'D53', 'E51', 'K08']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'bipolar affective disorder', 'specific personality disorders', 'degenerative diseases of nervous system', 'nutritional anaemias', 'thiamine deficiency', 'disorders of teeth and supporting structures']"
1549,405,Acetyl sulfisoxazole,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
1550,369,Docetaxel,"['N43', 'D29', 'N02', 'N39', 'N40']","['hydrocele and spermatocele', 'benign neoplasm of male genital organs', 'recurrent and persistent haematuria', 'disorders of urinary system', 'hyperplasia of prostate']"
1551,408,Phenoxybenzamine,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
1552,92,Permethrin,"['I42', 'I50']","['cardiomyopathy', 'heart failure']"
1553,411,Torasemide,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
1554,19_53,Phenylbutyric acid,"['E84', 'K86']","['cystic fibrosis', 'diseases of pancreas']"
1555,189,Rubidium Rb-82,"['M45', 'E13', 'D35', 'I10', 'I12', 'I72', 'I77', 'K20', 'L98', 'N05', 'I13']","['ankylosing spondylitis', 'specified diabetes mellitus', 'benign neoplasm of endocrine glands', 'essential (primary) hypertension', 'hypertensive renal disease', 'aneurysm', 'disorders of arteries and arterioles', 'oesophagitis', 'disorders of skin and subcutaneous tissue', 'minor glomerular abnormality', 'hypertensive heart and renal disease']"
1556,247,Rabeprazole,"['M11', 'M71', 'M93']","['crystal arthropathies', 'bursopathies', 'osteochondropathies']"
1557,423,Sunitinib,"['M16', 'M87', 'M41', 'M42', 'M43', 'M62', 'G54']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'disorders of muscle', 'nerve root and plexus disorders']"
1558,268,Beclomethasone dipropionate,"['A08', 'I25', 'I99', 'B34', 'C75', 'F51', 'F52', 'G12', 'G98', 'K02']","['viral and specified intestinal infections', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'viral infection of site', 'malignant neoplasm of endocrine glands and related structures', 'sleep disorders', 'sexual dysfunction', 'spinal muscular atrophy and related syndromes', 'disorders of nervous system', 'dental caries']"
1559,248,Coagulation factor VIIa Recombinant Human,"['M11', 'M17', 'M21', 'M71', 'M93', 'M94']","['crystal arthropathies', 'gonarthrosis [arthrosis of knee]', 'acquired deformities of limbs', 'bursopathies', 'osteochondropathies', 'disorders of cartilage']"
1560,398,Idarubicin,"['I31', 'G60', 'H57', 'I50', 'D52', 'F09', 'I13', 'I25', 'I99', 'J01', 'J41', 'M46']","['diseases of pericardium', 'hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'heart failure', 'folate deficiency anaemia', 'organic or symptomatic mental disorder', 'hypertensive heart and renal disease', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
1561,333_412,Fluocinolone Acetonide,"['K80', 'K81', 'K82']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
1562,152,Fish oil,"['K21', 'K25', 'K26', 'K31']","['gastro-oesophageal reflux disease', 'gastric ulcer', 'duodenal ulcer', 'diseases of stomach and duodenum']"
1563,18,Clopidogrel,"['E66', 'E78', 'F17', 'I10', 'K76']","['obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'mental and behavioural disorders due to use of tobacco', 'essential (primary) hypertension', 'diseases of liver']"
1564,421,Flibanserin,"['M66', 'M24', 'M65', 'M67', 'M71', 'M93', 'M94']","['spontaneous rupture of synovium and tendon', 'specific joint derangements', 'infective (teno)synovitis', 'disorders of synovium and tendon', 'bursopathies', 'osteochondropathies', 'disorders of cartilage']"
1565,239,Eribulin,"['K76', 'A04', 'D61', 'E55', 'K46', 'K55', 'K75']","['diseases of liver', 'bacterial intestinal infections', 'aplastic anaemias', 'vitamin d deficiency', 'abdominal hernia', 'vascular disorders of intestine', 'inflammatory liver diseases']"
1566,244,Risedronate,"['L71', 'K70', 'D53', 'F05', 'G31']","['rosacea', 'alcoholic liver disease', 'nutritional anaemias', 'delirium', 'degenerative diseases of nervous system']"
1567,3,Gestodene,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
1568,299,Desflurane,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']"
1569,5,Bosentan,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']","['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
1570,413,Idarubicin,"['K83', 'B18', 'C22', 'C24']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
1571,179,Tiapride,"['C61', 'N32', 'N40', 'D40']","['malignant neoplasm of prostate', 'disorders of bladder', 'hyperplasia of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs']"
1572,156,Valbenazine,"['K63', 'D12', 'I84', 'K60', 'K62', 'K64', 'D21']","['diseases of intestine', 'benign neoplasm of colon, rectum, anus and anal canal', 'haemorrhoids', 'fissure and fistula of anal and rectal regions', 'diseases of anus and rectum', 'haemorrhoids and perianal venous thrombosis', 'benign neoplasms of connective and soft tissue']"
1573,244,Boceprevir,"['L71', 'K70', 'D53', 'F05', 'G31']","['rosacea', 'alcoholic liver disease', 'nutritional anaemias', 'delirium', 'degenerative diseases of nervous system']"
1574,342,Nabilone,"['M81', 'M80', 'M85']","['osteoporosis without pathological fracture', 'osteoporosis with pathological fracture', 'disorders of bone density and structure']"
1575,54,Ciclesonide,"['E87', 'F10', 'F17']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of tobacco']"
1576,122_194,Vernakalant,"['E10', 'E16', 'H36']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'retinal disorders in diseases classified elsewhere']"
1577,200,Lamivudine,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']"
1578,209,Letrozole,"['G46', 'I63', 'I64', 'I66']","['vascular syndromes of brain in cerebrovascular diseases', 'cerebral infarction', 'stroke', 'occlusion and stenosis of cerebral arteries']"
1579,55,Nevirapine,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
1580,253,Vayarin,"['E79', 'M16', 'M87']","['disorders of purine and pyrimidine metabolism', 'coxarthrosis [arthrosis of hip]', 'osteonecrosis']"
1581,411,Atorvastatin,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
1582,22,Dobutamine,"['F43', 'F81', 'F70', 'F90']","['reaction to severe stress, and adjustment disorders', 'specific developmental disorders of scholastic skills', 'mild mental retardation', 'hyperkinetic disorders']"
1583,228,Trabectedin,"['J41', 'J44', 'J47', 'G61', 'H10', 'J40', 'J82']","['simple and mucopurulent chronic bronchitis', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'inflammatory polyneuropathy', 'conjunctivitis', 'bronchitis', 'pulmonary eosinophilia']"
1584,361,Tirofiban,"['C25', 'C24']","['malignant neoplasm of pancreas', 'malignant neoplasm of parts of biliary tract']"
1585,123,Terazosin,"['E13', 'H40', 'E11', 'G63', 'H25', 'H26', 'M86', 'N48', 'I79', 'L03']","['specified diabetes mellitus', 'glaucoma', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'senile cataract', 'cataract', 'osteomyelitis', 'disorders of penis', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis']"
1586,343,Perphenazine,"['M89', 'F32', 'F60', 'G83']","['disorders of bone', 'depressive episode', 'specific personality disorders', 'paralytic syndromes']"
1587,110,Felbamate,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
1588,351,Bemiparin,"['A02', 'A48', 'A69', 'B07', 'B36', 'B44', 'B49', 'B86', 'C11', 'C26', 'C41', 'C45', 'C50', 'C60', 'C66', 'C69', 'C76', 'C84', 'C88', 'D03', 'D07', 'D31', 'D34', 'D51', 'D89', 'E07', 'E22', 'E23', 'E27', 'E46', 'E74', 'E85', 'F52', 'G24', 'G52', 'G90', 'G92', 'H21', 'H31', 'H55', 'H61', 'J02', 'J11', 'J12', 'J61', 'K11', 'K41', 'L25', 'L60', 'L80', 'L81', 'M12', 'M60', 'N11', 'N34', 'N36', 'N50']","['salmonella infections', 'bacterial diseases', 'spirochaetal infections', 'viral warts', 'superficial mycoses', 'aspergillosis', 'mycosis', 'scabies', 'malignant neoplasm of nasopharynx', 'malignant neoplasm of ill-defined digestive organs', 'malignant neoplasm of bone and articular cartilage of sites', 'mesothelioma', 'malignant neoplasm of breast', 'malignant neoplasm of penis', 'malignant neoplasm of ureter', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'peripheral and cutaneous t-cell lymphomas', 'malignant immunoproliferative diseases', 'melanoma in situ', 'carcinoma in situ of genital organs', 'benign neoplasm of eye and adnexa', 'benign neoplasm of thyroid gland', 'vitamin b12 deficiency anaemia', 'disorders involving the immune mechanism', 'disorders of thyroid', 'hyperfunction of pituitary gland', 'hypofunction and disorders of pituitary gland', 'disorders of adrenal gland', 'protein-energy malnutrition', 'disorders of carbohydrate metabolism', 'amyloidosis', 'sexual dysfunction', 'dystonia', 'disorders of cranial nerves', 'disorders of autonomic nervous system', 'toxic encephalopathy', 'disorders of iris and ciliary body', 'disorders of choroid', 'nystagmus and irregular eye movements', 'disorders of external ear', 'acute pharyngitis', 'influenza virus', 'viral pneumonia', 'pneumoconiosis due to asbestos and mineral fibres', 'diseases of salivary glands', 'femoral hernia', 'contact dermatitis', 'nail disorders', 'vitiligo', 'disorders of pigmentation', 'specific arthropathies', 'myositis', 'chronic tubulo-interstitial nephritis', 'urethritis and urethral syndrome', 'disorders of urethra', 'disorders of male genital organs']"
1589,402,Nabumetone,"['C34', 'C38', 'C71', 'D43', 'J82']","['malignant neoplasm of bronchus and lung', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of brain', 'neoplasm of uncertain or unknown behaviour of brain and central nervous system', 'pulmonary eosinophilia']"
1590,310,Amiloride,"['H40', 'H47']","['glaucoma', 'disorders of optic [2nd] nerve and visual pathways']"
1591,67,Doxazosin,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']"
1592,79,Propafenone,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
1593,310,Progesterone,"['H40', 'H47']","['glaucoma', 'disorders of optic [2nd] nerve and visual pathways']"
1594,118,Bupranolol,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
1595,410,Icosapent,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
1596,454,Brimonidine,"['G40', 'G41', 'G81', 'I61', 'I62']","['epilepsy', 'status epilepticus', 'hemiplegia', 'intracerebral haemorrhage', 'nontraumatic intracranial haemorrhage']"
1597,414,Butalbital,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas']"
1598,401,Olsalazine,"['F09', 'J62', 'J44', 'J47', 'K20']","['organic or symptomatic mental disorder', 'pneumoconiosis due to dust containing silica', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'oesophagitis']"
1599,109,Liraglutide,"['N13', 'N20']","['obstructive and reflux uropathy', 'calculus of kidney and ureter']"
1600,144,Ropivacaine,"['I73', 'I74']","['peripheral vascular diseases', 'arterial embolism and thrombosis']"
1601,386,Carbocisteine,"['H90', 'H91', 'H93', 'H16', 'H81', 'K30', 'M40', 'E78', 'F34', 'G57', 'H10', 'I06']","['conductive and sensorineural hearing loss', 'hearing loss', 'disorders of ear', 'keratitis', 'disorders of vestibular function', 'dyspepsia', 'kyphosis and lordosis', 'disorders of lipoprotein metabolism and lipidaemias', 'persistent mood [affective] disorders', 'mononeuropathies of lower limb', 'conjunctivitis', 'rheumatic aortic valve diseases']"
1602,405,Clobazam,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
1603,163,Methylphenidate,"['M25', 'M66', 'M87']","['joint disorders', 'spontaneous rupture of synovium and tendon', 'osteonecrosis']"
1604,457,Edoxaban,"['M16', 'M41', 'M42', 'M43', 'M87']","['coxarthrosis [arthrosis of hip]', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'osteonecrosis']"
1605,370,Moroctocog alfa,"['D72', 'C83', 'C85', 'C91']","['disorders of white blood cells', ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma"", 'lymphoid leukaemia']"
1606,110,Etravirine,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
1607,423,Fluvoxamine,"['M16', 'M87', 'M41', 'M42', 'M43', 'M62', 'G54']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'disorders of muscle', 'nerve root and plexus disorders']"
1608,5,Flibanserin,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']","['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
1609,77,Safinamide,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
1610,56,Ephedrine,"['F32', 'F33', 'F41', 'F45']","['depressive episode', 'recurrent depressive disorder', 'anxiety disorders', 'somatoform disorders']"
1611,176,Gallamine Triethiodide,"['K74', 'I85', 'C22', 'K31', 'K72', 'B99']","['fibrosis and cirrhosis of liver', 'oesophageal varices', 'malignant neoplasm of liver and intrahepatic bile ducts', 'diseases of stomach and duodenum', 'hepatic failure', 'infectious diseases']"
1612,167,Terbutaline,"['M19', 'M24', 'M25', 'M65', 'M67', 'M75', 'M77', 'M66', 'M76']","['arthrosis', 'specific joint derangements', 'joint disorders', 'infective (teno)synovitis', 'disorders of synovium and tendon', 'shoulder lesions', 'enthesopathies', 'spontaneous rupture of synovium and tendon', 'enthesopathies of lower limb, excluding foot']"
1613,77,Chlordiazepoxide,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
1614,11,Hydroquinone,"['C71', 'C79', 'H53']","['malignant neoplasm of brain', 'secondary malignant neoplasm of specified sites', 'visual disturbances']"
1615,18,Thrombomodulin Alfa,"['E66', 'E78', 'F17', 'I10', 'K76']","['obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'mental and behavioural disorders due to use of tobacco', 'essential (primary) hypertension', 'diseases of liver']"
1616,386,Chondroitin sulfate,"['H90', 'H91', 'H93', 'H16', 'H81', 'K30', 'M40', 'E78', 'F34', 'G57', 'H10', 'I06']","['conductive and sensorineural hearing loss', 'hearing loss', 'disorders of ear', 'keratitis', 'disorders of vestibular function', 'dyspepsia', 'kyphosis and lordosis', 'disorders of lipoprotein metabolism and lipidaemias', 'persistent mood [affective] disorders', 'mononeuropathies of lower limb', 'conjunctivitis', 'rheumatic aortic valve diseases']"
1617,272,Sevoflurane,"['B16', 'K73', 'B18', 'C22', 'F19']","['acute hepatitis b', 'chronic hepatitis', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
1618,13,Triazolam,"['D80', 'E61', 'G00', 'H02', 'H04', 'J01', 'K00', 'K76', 'M43', 'J35', 'J36']","['immunodeficiency with antibody defects', 'deficiency of nutrient elements', 'bacterial meningitis', 'disorders of eyelid', 'disorders of lachrymal system', 'acute sinusitis', 'disorders of tooth development and eruption', 'diseases of liver', 'deforming dorsopathies', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess']"
1619,228,Sulconazole,"['J41', 'J44', 'J47', 'G61', 'H10', 'J40', 'J82']","['simple and mucopurulent chronic bronchitis', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'inflammatory polyneuropathy', 'conjunctivitis', 'bronchitis', 'pulmonary eosinophilia']"
1620,440,Tolazoline,"['H44', 'D31', 'H04', 'H25', 'H34', 'H50']","['disorders of globe', 'benign neoplasm of eye and adnexa', 'disorders of lachrymal system', 'senile cataract', 'retinal vascular occlusions', 'strabismus']"
1621,118,Glucosamine,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
1622,299,Clomipramine,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']"
1623,67,Lorpiprazole,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']"
1624,426,Vitamin E,"['M66', 'M75', 'M77']","['spontaneous rupture of synovium and tendon', 'shoulder lesions', 'enthesopathies']"
1625,292,Nitrous acid,"['E10', 'E13', 'E16']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion']"
1626,222_294,Thiotepa,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']"
1627,446,Semaglutide,"['I73', 'I70', 'I74', 'I77']","['peripheral vascular diseases', 'atherosclerosis', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles']"
1628,82_87,Abemaciclib,"['F20', 'F25']","['schizophrenia', 'schizoaffective disorders']"
1629,405,Dihydroergotamine,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
1630,378,Isosorbide,"['F10', 'F13', 'F31', 'F60', 'G31', 'D53', 'E51', 'K08']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'bipolar affective disorder', 'specific personality disorders', 'degenerative diseases of nervous system', 'nutritional anaemias', 'thiamine deficiency', 'disorders of teeth and supporting structures']"
1631,423,Lamivudine,"['M16', 'M87', 'M41', 'M42', 'M43', 'M62', 'G54']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'disorders of muscle', 'nerve root and plexus disorders']"
1632,364,Prucalopride,"['C65', 'C67', 'C68', 'N30', 'C66']","['malignant neoplasm of renal pelvis', 'malignant neoplasm of bladder', 'malignant neoplasm of urinary organs', 'cystitis', 'malignant neoplasm of ureter']"
1633,109,Triamterene,"['N13', 'N20']","['obstructive and reflux uropathy', 'calculus of kidney and ureter']"
1634,152,Clomipramine,"['K21', 'K25', 'K26', 'K31']","['gastro-oesophageal reflux disease', 'gastric ulcer', 'duodenal ulcer', 'diseases of stomach and duodenum']"
1635,13,Methamphetamine,"['D80', 'E61', 'G00', 'H02', 'H04', 'J01', 'K00', 'K76', 'M43', 'J35', 'J36']","['immunodeficiency with antibody defects', 'deficiency of nutrient elements', 'bacterial meningitis', 'disorders of eyelid', 'disorders of lachrymal system', 'acute sinusitis', 'disorders of tooth development and eruption', 'diseases of liver', 'deforming dorsopathies', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess']"
1636,444,Cobicistat,"['E10', 'E13', 'E16', 'H26', 'H33']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks']"
1637,67,Technetium Tc-99m tetrofosmin,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']"
1638,55,Oxtriphylline,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
1639,410,Budesonide,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
1640,13,Nandrolone decanoate,"['D80', 'E61', 'G00', 'H02', 'H04', 'J01', 'K00', 'K76', 'M43', 'J35', 'J36']","['immunodeficiency with antibody defects', 'deficiency of nutrient elements', 'bacterial meningitis', 'disorders of eyelid', 'disorders of lachrymal system', 'acute sinusitis', 'disorders of tooth development and eruption', 'diseases of liver', 'deforming dorsopathies', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess']"
1641,373,Propafenone,"['E10', 'E13', 'E16', 'I79']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere']"
1642,79,Proguanil,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
