,Unnamed: 0.1,Unnamed: 0,ICD,Drug,Consensus Name,Disease Name,PubMed_query_name,PubMed count
675,675,666,F24,Olodaterol,induced delusional disorder,induced delusional disorder,induced delusional disorder,0.0
676,676,667,N96,Ritonavir,habitual aborter,habitual aborter,habitual aborter,0.0
677,677,668,D46,Pantoprazole,myelodysplastic syndromes,"myelodysplastic syndromes;refractory anaemia without sideroblasts, so stated;refractory anaemia with sideroblasts;refractory anaemia with excess of blasts;refractory anaemia with excess of blasts with transformation;refractory anaemia, unspecified;refractory anaemia with multi-lineage dysplasia;myelodysplastic syndrome with isolated del(5q) chromosomal abnormality;other myelodysplastic syndromes;myelodysplastic syndrome, unspecified",myelodysplastic syndromes,1.0
678,678,669,B86,Rotigotine,scabies,scabies,scabies,0.0
679,679,670,B47,Butylscopolamine,mycetoma,"mycetoma;eumycetoma;actinomycetoma;mycetoma, unspecified",mycetoma,0.0
680,680,671,K44,Fexofenadine,diaphragmatic hernia,"diaphragmatic hernia;diaphragmatic hernia with obstruction, without gangrene;diaphragmatic hernia with gangrene;diaphragmatic hernia without obstruction or gangrene",diaphragmatic hernia,0.0
681,681,672,M54,Prednisolone,dorsalgia,"dorsalgia;panniculitis affecting regions of neck and back;radiculopathy;cervicalgia;sciatica;lumbago with sciatica;low back pain;pain in thoracic spine;other dorsalgia;dorsalgia, unspecified",dorsalgia,543.0
682,682,673,K59,Betamethasone,functional intestinal disorders,"other functional intestinal disorders;constipation;functional diarrhoea;neurogenic bowel, not elsewhere classified;megacolon, not elsewhere classified;anal spasm;other specified functional intestinal disorders;functional intestinal disorder, unspecified",functional intestinal disorders,57.0
683,683,674,I47,Grazoprevir,paroxysmal tachycardia,"paroxysmal tachycardia;reentry ventricular arrhythmia;supraventricular tachycardia;ventricular tachycardia;paroxysmal tachycardia, unspecified",paroxysmal tachycardia,0.0
684,684,675,G30,Nitric Oxide,alzheimer's disease,"alzheimer's disease;alzheimer's disease with early onset;alzheimer's disease with late onset;other alzheimer's disease;alzheimer's disease, unspecified",alzheimer's disease,2435.0
685,685,676,A01,Bortezomib,typhoid and paratyphoid fevers,"typhoid and paratyphoid fevers;typhoid fever;paratyphoid fever a;paratyphoid fever b;paratyphoid fever c;paratyphoid fever, unspecified",typhoid and paratyphoid fevers,1.0
686,686,677,D46,Megestrol acetate,myelodysplastic syndromes,"myelodysplastic syndromes;refractory anaemia without sideroblasts, so stated;refractory anaemia with sideroblasts;refractory anaemia with excess of blasts;refractory anaemia with excess of blasts with transformation;refractory anaemia, unspecified;refractory anaemia with multi-lineage dysplasia;myelodysplastic syndrome with isolated del(5q) chromosomal abnormality;other myelodysplastic syndromes;myelodysplastic syndrome, unspecified",myelodysplastic syndromes,0.0
687,687,678,A71,Phendimetrazine,trachoma,"trachoma;initial stage of trachoma;active stage of trachoma;trachoma, unspecified",trachoma,0.0
688,688,679,N80,Diclofenamide,endometriosis,"endometriosis;endometriosis of uterus;endometriosis of ovary;endometriosis of fallopian tube;endometriosis of pelvic peritoneum;endometriosis of rectovaginal septum and vagina;endometriosis of intestine;endometriosis in cutaneous scar;other endometriosis;endometriosis, unspecified",endometriosis,0.0
689,689,680,G70,Alemtuzumab,myasthenia gravis and myoneural disorders,"myasthenia gravis and other myoneural disorders;myasthenia gravis;toxic myoneural disorders;congenital and developmental myasthenia;other specified myoneural disorders;myoneural disorder, unspecified",myasthenia gravis and myoneural disorders,57.0
690,690,681,C67,Bismuth Subsalicylate,malignant neoplasm of bladder,"malignant neoplasm of bladder;trigone of bladder;dome of bladder;lateral wall of bladder;anterior wall of bladder;posterior wall of bladder;bladder neck;ureteric orifice;urachus;overlapping lesion of bladder;bladder, unspecified",malignant neoplasm of bladder,0.0
691,691,682,F10,Boceprevir,mental and behavioural disorders due to use of alcohol,mental and behavioural disorders due to use of alcohol;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to use of alcohol,3.0
692,692,683,G95,Glycerin,diseases of spinal cord,"other diseases of spinal cord;syringomyelia and syringobulbia;vascular myelopathies;cord compression, unspecified;other specified diseases of spinal cord;disease of spinal cord, unspecified",diseases of spinal cord,59.0
693,693,684,F12,Mepenzolate,mental and behavioural disorders due to use of cannabinoids,mental and behavioural disorders due to use of cannabinoids;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to use of cannabinoids,0.0
694,694,685,E50,Desoximetasone,vitamin a deficiency,"vitamin a deficiency;vitamin a deficiency with conjunctival xerosis;vitamin a deficiency with bitot's spot and conjunctival xerosis;vitamin a deficiency with corneal xerosis;vitamin a deficiency with corneal ulceration and xerosis;vitamin a deficiency with keratomalacia;vitamin a deficiency with night blindness;vitamin a deficiency with xerophthalmic scars of cornea;other ocular manifestations of vitamin a deficiency;other manifestations of vitamin a deficiency;vitamin a deficiency, unspecified",vitamin a deficiency,0.0
695,695,686,F17,Oxymorphone,mental and behavioural disorders due to use of tobacco,mental and behavioural disorders due to use of tobacco;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to use of tobacco,0.0
696,696,687,M19,Entacapone,arthrosis,"other arthrosis;primary arthrosis of other joints;posttraumatic arthrosis of other joints;other secondary arthrosis;other specified arthrosis;arthrosis, unspecified",arthrosis,0.0
697,697,688,I35,Pentoxifylline,nonrheumatic aortic valve disorders,"nonrheumatic aortic valve disorders;aortic (valve) stenosis;aortic (valve) insufficiency;aortic (valve) stenosis with insufficiency;other aortic valve disorders;aortic valve disorder, unspecified",nonrheumatic aortic valve disorders,0.0
698,698,689,L89,Leflunomide,decubitus ulcer,"decubitus ulcer;stage i decubitus ulcer and pressure area;stage ii decubitus ulcer;stage iii decubitus ulcer;stage iv decubitus ulcer;decubitus ulcer and pressure area, unspecified",decubitus ulcer,1.0
699,699,690,F03,Metoclopramide,unspecified dementia,unspecified dementia,dementia,20.0
700,700,691,C34,Methyprylon,malignant neoplasm of bronchus and lung,"malignant neoplasm of bronchus and lung;main bronchus;upper lobe, bronchus or lung;middle lobe, bronchus or lung;lower lobe, bronchus or lung;overlapping lesion of bronchus and lung;bronchus or lung, unspecified",malignant neoplasm of bronchus and lung,0.0
701,701,692,M31,Sodium carbonate,necrotising vasculopathies,"other necrotising vasculopathies;hypersensitivity angiitis;thrombotic microangiopathy;lethal midline granuloma;wegener's granulomatosis;aortic arch syndrome [takayasu];giant cell arteritis with polymyalgia rheumatica;other giant cell arteritis;microscopic polyangiitis;other specified necrotising vasculopathies;necrotising vasculopathy, unspecified",necrotising vasculopathies,2.0
702,702,693,D89,Alfuzosin,"disorders involving the immune mechanism, not elsewhere classified","other disorders involving the immune mechanism, not elsewhere classified;polyclonal hypergammaglobulinaemia;cryoglobulinaemia;hypergammaglobulinaemia, unspecified;immune reconstitution syndrome;other specified disorders involving the immune mechanism, not elsewhere classified;disorder involving the immune mechanism, unspecified",disorders involving the immune mechanism,0.0
703,703,694,L26,Nitrendipine,exfoliative dermatitis,exfoliative dermatitis,exfoliative dermatitis,0.0
704,704,695,M87,Pramipexole,osteonecrosis,"osteonecrosis;idiopathic aseptic necrosis of bone;osteonecrosis due to drugs;osteonecrosis due to previous trauma;other secondary osteonecrosis;other osteonecrosis;osteonecrosis, unspecified",osteonecrosis,0.0
705,705,696,C56,Primidone,malignant neoplasm of ovary,malignant neoplasm of ovary,malignant neoplasm of ovary,0.0
706,706,697,C49,Calcium Citrate,malignant neoplasm of connective and soft tissue,"malignant neoplasm of other connective and soft tissue;connective and soft tissue of head, face and neck;connective and soft tissue of upper limb, including shoulder;connective and soft tissue of lower limb, including hip;connective and soft tissue of thorax;connective and soft tissue of abdomen;connective and soft tissue of pelvis;connective and soft tissue of trunk, unspecified;overlapping lesion of connective and soft tissue;connective and soft tissue, unspecified",malignant neoplasm of connective and soft tissue,21.0
707,707,698,L51,Udenafil,erythema multiforme,"erythema multiforme;nonbullous erythema multiforme;bullous erythema multiforme;toxic epidermal necrolysis [lyell];other erythema multiforme;erythema multiforme, unspecified",erythema multiforme,0.0
708,708,699,L95,Amifampridine,"vasculitis limited to skin, not elsewhere classified","vasculitis limited to skin, not elsewhere classified;livedoid vasculitis;erythema elevatum diutinum;other vasculitis limited to skin;vasculitis limited to skin, unspecified",vasculitis limited to skin,0.0
709,709,700,I70,Topiroxostat,atherosclerosis,atherosclerosis;atherosclerosis of aorta;atherosclerosis of renal artery;atherosclerosis of arteries of the extremities;atherosclerosis of other arteries;generalised and unspecified atherosclerosis,atherosclerosis,3.0
710,710,701,D52,Afamelanotide,folate deficiency anaemia,"folate deficiency anaemia;dietary folate deficiency anaemia;drug-induced folate deficiency anaemia;other folate deficiency anaemias;folate deficiency anaemia, unspecified",folate deficiency anaemia,0.0
711,711,702,F48,Fondaparinux,neurotic disorders,"other neurotic disorders;neurasthenia;depersonalisation-derealisation syndrome;other specified neurotic disorders;neurotic disorder, unspecified",neurotic disorders,0.0
712,712,703,H90,Oxprenolol,conductive and sensorineural hearing loss,"conductive and sensorineural hearing loss;conductive hearing loss, bilateral;conductive hearing loss, unilateral with unrestricted hearing on the contralateral side;conductive hearing loss, unspecified;sensorineural hearing loss, bilateral;sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side;sensorineural hearing loss, unspecified;mixed conductive and sensorineural hearing loss, bilateral;mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side;mixed conductive and sensorineural hearing loss, unspecified",conductive and sensorineural hearing loss,141.0
713,713,704,D05,Prazosin,carcinoma in situ of breast,"carcinoma in situ of breast;lobular carcinoma in situ;intraductal carcinoma in situ;other carcinoma in situ of breast;carcinoma in situ of breast, unspecified",carcinoma in situ of breast,0.0
714,714,705,I73,Sufentanil,peripheral vascular diseases,"other peripheral vascular diseases;raynaud's syndrome;thromboangiitis obliterans [buerger];other specified peripheral vascular diseases;peripheral vascular disease, unspecified",peripheral vascular diseases,4.0
715,715,706,D61,Iloprost,aplastic anaemias,"other aplastic anaemias;constitutional aplastic anaemia;drug-induced aplastic anaemia;aplastic anaemia due to other external agents;idiopathic aplastic anaemia;other specified aplastic anaemias;aplastic anaemia, unspecified",aplastic anaemias,1.0
716,716,707,L13,Diflunisal,bullous disorders,"other bullous disorders;dermatitis herpetiformis;subcorneal pustular dermatitis;other specified bullous disorders;bullous disorder, unspecified",bullous disorders,5.0
717,717,708,I70,Vinorelbine,atherosclerosis,atherosclerosis;atherosclerosis of aorta;atherosclerosis of renal artery;atherosclerosis of arteries of the extremities;atherosclerosis of other arteries;generalised and unspecified atherosclerosis,atherosclerosis,2.0
718,718,709,K52,Vinblastine,non-infective gastro-enteritis and colitis,"other non-infective gastro-enteritis and colitis;gastro-enteritis and colitis due to radiation;toxic gastro-enteritis and colitis;allergic and dietetic gastro-enteritis and colitis;indeterminate colitis;other specified non-infective gastro-enteritis and colitis;non-infective gastro-enteritis and colitis, unspecified",non-infective gastro-enteritis and colitis,14.0
719,719,710,H21,Propranolol,disorders of iris and ciliary body,"other disorders of iris and ciliary body;hyphaema;other vascular disorders of iris and ciliary body;degeneration of iris and ciliary body;cyst of iris, ciliary body and anterior chamber;pupillary membranes;other adhesions and disruptions of iris and ciliary body;other specified disorders of iris and ciliary body;disorder of iris and ciliary body, unspecified",disorders of iris and ciliary body,61.0
720,720,711,G98,Triazolam,"disorders of nervous system, not elsewhere classified","other disorders of nervous system, not elsewhere classified",disorders of nervous system,46.0
721,721,712,K82,Insulin Glargine,diseases of gallbladder,"other diseases of gallbladder;obstruction of gallbladder;hydrops of gallbladder;perforation of gallbladder;fistula of gallbladder;cholesterolosis of gallbladder;other specified diseases of gallbladder;disease of gallbladder, unspecified",diseases of gallbladder,2.0
722,722,713,E76,Oxytocin,disorders of glycosaminoglycan metabolism,"disorders of glycosaminoglycan metabolism;mucopolysaccharidosis, type i;mucopolysaccharidosis, type ii;other mucopolysaccharidoses;mucopolysaccharidosis, unspecified;other disorders of glucosaminoglycan metabolism;disorder of glucosaminoglycan metabolism, unspecified",disorders of glycosaminoglycan metabolism,2.0
723,723,714,F01,Tuberculin Purified Protein Derivative,vascular dementia,"vascular dementia;vascular dementia of acute onset;multi-infarct dementia;subcortical vascular dementia;mixed cortical and subcortical vascular dementia;other vascular dementia;vascular dementia, unspecified",vascular dementia,1.0
724,724,715,I67,Flunitrazepam,cerebrovascular diseases,"other cerebrovascular diseases;dissection of cerebral arteries, nonruptured;cerebral aneurysm, nonruptured;cerebral atherosclerosis;progressive vascular leukoencephalopathy;hypertensive encephalopathy;moyamoya disease;nonpyogenic thrombosis of intracranial venous system;cerebral arteritis, not elsewhere classified;other specified cerebrovascular diseases;cerebrovascular disease, unspecified",cerebrovascular diseases,11.0
725,725,716,E14,Prasterone,unspecified diabetes mellitus,unspecified diabetes mellitus;with coma;with ketoacidosis;withrenal complications;with ophthalmic complications;with neurological complications;with peripheral circulatory complications;with other specified complications;with multiple complications;with unspecified complications;without complications,diabetes mellitus,455.0
726,726,717,C25,Selegiline,malignant neoplasm of pancreas,"malignant neoplasm of pancreas;head of pancreas;body of pancreas;tail of pancreas;pancreatic duct;endocrine pancreas;other parts of pancreas;overlapping lesion of pancreas;pancreas, unspecified",malignant neoplasm of pancreas,1.0
727,727,718,C45,Ifenprodil,mesothelioma,"mesothelioma;mesothelioma of pleura;mesothelioma of peritoneum;mesothelioma of pericardium;mesothelioma of other sites;mesothelioma, unspecified",mesothelioma,0.0
728,728,719,G41,Pentoxyverine,status epilepticus,"status epilepticus;grand mal status epilepticus;petit mal status epilepticus;complex partial status epilepticus;other status epilepticus;status epilepticus, unspecified",status epilepticus,0.0
729,729,720,H44,Glutethimide,disorders of globe,"disorders of globe;purulent endophthalmitis;other endophthalmitis;degenerative myopia;other degenerative disorders of globe;hypotony of eye;degenerated conditions of globe;retained (old) intraocular foreign body, magnetic;retained (old) intraocular foreign body, nonmagnetic;other disorders of globe;disorder of globe, unspecified",disorders of globe,6.0
730,730,721,C80,Lansoprazole,malignant neoplasm without specification of site,"malignant neoplasm without specification of site;malignant neoplasm, primary site unknown, so stated;malignant neoplasm, unspecified",malignant neoplasm,243.0
731,731,722,D68,Calcitriol,coagulation defects,"other coagulation defects;von willebrand's disease;hereditary factor xi deficiency;hereditary deficiency of other clotting factors;haemorrhagic disorder due to circulating anticoagulants;acquired coagulation factor deficiency;primary thrombophilia;other thrombophilia;other specified coagulation defects;coagulation defect, unspecified",coagulation defects,21.0
732,732,723,M19,Eszopiclone,arthrosis,"other arthrosis;primary arthrosis of other joints;posttraumatic arthrosis of other joints;other secondary arthrosis;other specified arthrosis;arthrosis, unspecified",arthrosis,0.0
733,733,724,D07,Romidepsin,carcinoma in situ of genital organs,carcinoma in situ of other and unspecified genital organs;endometrium;vulva;vagina;other and unspecified female genital organs;penis;prostate;other and unspecified male genital organs,carcinoma in situ of genital organs,0.0
734,734,725,I82,Metoclopramide,venous embolism and thrombosis,other venous embolism and thrombosis;budd-chiari syndrome;thrombophlebitis migrans;embolism and thrombosis of vena cava;embolism and thrombosis of renal vein;embolism and thrombosis of other specified veins;embolism and thrombosis of unspecified vein,venous embolism and thrombosis,13.0
735,735,726,C94,Modafinil,specified leukaemias,"other leukaemias of specified cell type;acute erythraemia and erythroleukaemia;chronic erythraemia;acute megakaryoblastic leukaemia;mast cell leukaemia;acute panmyelosis;acute myelofibrosis;myelodysplastic and myeloproliferative disease, not elsewhere classified;other specified leukaemias",specified leukaemias,0.0
736,736,727,A05,Diclofenamide,bacterial foodborne intoxications,"other bacterial foodborne intoxications;foodborne staphylococcal intoxication;botulism;foodborne clostridium perfringens [clostridium welchii] intoxication;foodborne vibrio parahaemolyticus intoxication;foodborne bacillus cereus intoxication;other specified bacterial foodborne intoxications;bacterial foodborne intoxication, unspecified",bacterial foodborne intoxications,0.0
737,737,728,I70,Dronedarone,atherosclerosis,atherosclerosis;atherosclerosis of aorta;atherosclerosis of renal artery;atherosclerosis of arteries of the extremities;atherosclerosis of other arteries;generalised and unspecified atherosclerosis,atherosclerosis,2.0
738,738,729,N17,Delamanid,acute renal failure,"acute renal failure;acute renal failure with tubular necrosis;acute renal failure with acute cortical necrosis;acute renal failure with medullary necrosis;other acute renal failure;acute renal failure, unspecified",acute renal failure,3.0
739,739,730,B54,Atenolol,unspecified malaria,unspecified malaria,malaria,2.0
740,740,731,F18,Dexlansoprazole,mental and behavioural disorders due to use of volatile solvents,mental and behavioural disorders due to use of volatile solvents;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to use of volatile solvents,0.0
741,741,732,E24,Cannabidiol,cushing's syndrome,"cushing's syndrome;pituitary-dependent cushing's disease;nelson's syndrome;drug-induced cushing's syndrome;ectopic acth syndrome;alcohol-induced pseudo-cushing's syndrome;other cushing's syndrome;cushing's syndrome, unspecified",cushing's syndrome,1.0
742,742,733,I35,Cisplatin,nonrheumatic aortic valve disorders,"nonrheumatic aortic valve disorders;aortic (valve) stenosis;aortic (valve) insufficiency;aortic (valve) stenosis with insufficiency;other aortic valve disorders;aortic valve disorder, unspecified",nonrheumatic aortic valve disorders,0.0
743,743,734,I63,Coagulation factor VIIa Recombinant Human,cerebral infarction,"cerebral infarction;cerebral infarction due to thrombosis of precerebral arteries;cerebral infarction due to embolism of precerebral arteries;cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries;cerebral infarction due to thrombosis of cerebral arteries;cerebral infarction due to embolism of cerebral arteries;cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries;cerebral infarction due to cerebral venous thrombosis, nonpyogenic;other cerebral infarction;cerebral infarction, unspecified",cerebral infarction,15.0
744,744,735,A02,Toremifene,salmonella infections,"other salmonella infections;salmonella gastro-enteritis;salmonella septicaemia;localised salmonella infections;other specified salmonella infections;salmonella infection, unspecified",salmonella infections,0.0
745,745,736,F05,"Antihemophilic factor, human recombinant","delirium, not induced by alcohol and psychoactive substances","delirium, not induced by alcohol and other psychoactive substances;delirium not superimposed on dementia, so described;delirium superimposed on dementia;other delirium;delirium, unspecified",delirium,1.0
746,746,737,H30,Salicylic acid,chorioretinal inflammation,"chorioretinal inflammation;focal chorioretinal inflammation;disseminated chorioretinal inflammation;posterior cyclitis;other chorioretinal inflammations;chorioretinal inflammation, unspecified",chorioretinal inflammation,0.0
747,747,738,D69,Azithromycin,purpura and haemorrhagic conditions,"purpura and other haemorrhagic conditions;allergic purpura;qualitative platelet defects;other nonthrombocytopenic purpura;idiopathic thrombocytopenic purpura;other primary thrombocytopenia;secondary thrombocytopenia;thrombocytopenia, unspecified;other specified haemorrhagic conditions;haemorrhagic condition, unspecified",purpura and haemorrhagic conditions,962.0
748,748,739,E84,Exenatide,cystic fibrosis,"cystic fibrosis;cystic fibrosis with pulmonary manifestations;cystic fibrosis with intestinal manifestations;cystic fibrosis with other manifestations;cystic fibrosis, unspecified",cystic fibrosis,5.0
749,749,740,F20,Isopropamide,schizophrenia,"schizophrenia;paranoid schizophrenia;hebephrenic schizophrenia;catatonic schizophrenia;undifferentiated schizophrenia;postschizophrenic depression;residual schizophrenia;simple schizophrenia;other schizophrenia;schizophrenia, unspecified",schizophrenia,0.0
750,750,741,D66,Quinestrol,hereditary factor viii deficiency,hereditary factor viii deficiency,hereditary factor viii deficiency,0.0
751,751,742,E25,Oxymetholone,adrenogenital disorders,"adrenogenital disorders;congenital adrenogenital disorders associated with enzyme deficiency;other adrenogenital disorders;adrenogenital disorder, unspecified",adrenogenital disorders,0.0
752,752,743,F15,Oxybutynin,"mental and behavioural disorders due to use of stimulants, including caffeine","mental and behavioural disorders due to use of other stimulants, including caffeine;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder","mental and behavioural disorders due to use of stimulants, including caffeine",0.0
753,753,744,L40,Flecainide,psoriasis,"asthma;predominantly allergic asthma;nonallergic asthma;mixed asthma;asthma, unspecified",asthma,4.0
754,754,744,L40,Flecainide,psoriasis,"psoriasis;psoriasis vulgaris;generalised pustular psoriasis;acrodermatitis continua;pustulosis palmaris et plantaris;guttate psoriasis;arthropathic psoriasis;other psoriasis;psoriasis, unspecified",psoriasis,1.0
755,755,744,L40,Flecainide,psoriasis,"asthma;predominantly allergic asthma;nonallergic asthma;mixed asthma;asthma, unspecified",asthma,4.0
756,756,744,L40,Flecainide,psoriasis,"psoriasis;psoriasis vulgaris;generalised pustular psoriasis;acrodermatitis continua;pustulosis palmaris et plantaris;guttate psoriasis;arthropathic psoriasis;other psoriasis;psoriasis, unspecified",psoriasis,1.0
757,757,745,K06,Certolizumab pegol,disorders of gingiva and edentulous alveolar ridge,"other disorders of gingiva and edentulous alveolar ridge;gingival recession;gingival enlargement;gingival and edentulous alveolar ridge lesions associated with trauma;other specified disorders of gingiva and edentulous alveolar ridge;disorder of gingiva and edentulous alveolar ridge, unspecified",disorders of gingiva and edentulous alveolar ridge,0.0
758,758,746,J66,Isoniazid,airway disease due to specific organic dust,airway disease due to specific organic dust;byssinosis;flax-dresser's disease;cannabinosis;airway disease due to other specific organic dusts,airway disease due to specific organic dust,0.0
759,759,747,C52,Chloroquine,malignant neoplasm of vagina,malignant neoplasm of vagina,malignant neoplasm of vagina,3.0
760,760,748,L26,Olmutinib,exfoliative dermatitis,exfoliative dermatitis,exfoliative dermatitis,0.0
761,761,749,J30,Ibrutinib,vasomotor and allergic rhinitis,"vasomotor and allergic rhinitis;vasomotor rhinitis;allergic rhinitis due to pollen;other seasonal allergic rhinitis;other allergic rhinitis;allergic rhinitis, unspecified",vasomotor and allergic rhinitis,1.0
762,762,750,M34,Teniposide,systemic sclerosis,"systemic sclerosis;progressive systemic sclerosis;cr(e)st syndrome;systemic sclerosis induced by drugs and chemicals;other forms of systemic sclerosis;systemic sclerosis, unspecified",systemic sclerosis,0.0
763,763,751,G98,Sunitinib,"disorders of nervous system, not elsewhere classified","other disorders of nervous system, not elsewhere classified",disorders of nervous system,56.0
764,764,752,M00,Isoetarine,pyogenic arthritis,"pyogenic arthritis;staphylococcal arthritis and polyarthritis;pneumococcal arthritis and polyarthritis;other streptococcal arthritis and polyarthritis;arthritis and polyarthritis due to other specified bacterial agents;pyogenic arthritis, unspecified",pyogenic arthritis,0.0
765,765,753,M66,Venlafaxine,spontaneous rupture of synovium and tendon,spontaneous rupture of synovium and tendon;rupture of popliteal cyst;rupture of synovium;spontaneous rupture of extensor tendons;spontaneous rupture of flexor tendons;spontaneous rupture of other tendons;spontaneous rupture of unspecified tendon,spontaneous rupture of synovium and tendon,0.0
766,766,754,I77,Benidipine,disorders of arteries and arterioles,"other disorders of arteries and arterioles;arteriovenous fistula, acquired;stricture of artery;rupture of artery;arterial fibromuscular dysplasia;coeliac artery compression syndrome;necrosis of artery;arteritis, unspecified;other specified disorders of arteries and arterioles;disorder of arteries and arterioles, unspecified",disorders of arteries and arterioles,43.0
767,767,755,B27,Sucralfate,infectious mononucleosis,"infectious mononucleosis;gammaherpesviral mononucleosis;cytomegaloviral mononucleosis;other infectious mononucleosis;infectious mononucleosis, unspecified",infectious mononucleosis,0.0
768,768,756,F20,Prazepam,schizophrenia,"schizophrenia;paranoid schizophrenia;hebephrenic schizophrenia;catatonic schizophrenia;undifferentiated schizophrenia;postschizophrenic depression;residual schizophrenia;simple schizophrenia;other schizophrenia;schizophrenia, unspecified",schizophrenia,2.0
769,769,757,L23,Vapreotide,allergic contact dermatitis,"allergic contact dermatitis;allergic contact dermatitis due to metals;allergic contact dermatitis due to adhesives;allergic contact dermatitis due to cosmetics;allergic contact dermatitis due to drugs in contact with the skin;allergic contact dermatitis due to dyes;allergic contact dermatitis due to other chemical products;allergic contact dermatitis due to food in contact with the skin;allergic contact dermatitis due to plants, except food;allergic contact dermatitis due to other agents;allergic contact dermatitis, unspecified cause",allergic contact dermatitis,0.0
770,770,758,C34,Adenosine monophosphate,malignant neoplasm of bronchus and lung,"malignant neoplasm of bronchus and lung;main bronchus;upper lobe, bronchus or lung;middle lobe, bronchus or lung;lower lobe, bronchus or lung;overlapping lesion of bronchus and lung;bronchus or lung, unspecified",malignant neoplasm of bronchus and lung,1870.0
771,771,759,M81,Nalbuphine,osteoporosis without pathological fracture,"osteoporosis without pathological fracture;postmenopausal osteoporosis;postoophorectomy osteoporosis;osteoporosis of disuse;postsurgical malabsorption osteoporosis;drug-induced osteoporosis;idiopathic osteoporosis;localised osteoporosis [lequesne];other osteoporosis;osteoporosis, unspecified",osteoporosis without pathological fracture,0.0
772,772,760,F41,Manidipine,anxiety disorders,"other anxiety disorders;panic disorder [episodic paroxysmal anxiety];generalised anxiety disorder;mixed anxiety and depressive disorder;other mixed anxiety disorders;other specified anxiety disorders;anxiety disorder, unspecified",anxiety disorders,0.0
773,773,761,N03,Alemtuzumab,chronic nephritic syndrome,chronic nephritic syndrome;minor glomerular abnormality;focal and segmental glomerular lesions;diffuse membranous glomerulonephritis;diffuse mesangial proliferative glomerulonephritis;diffuse endocapillary proliferative glomerulonephritis;diffuse mesangiocapillary glomerulonephritis;dense deposit disease;diffuse crescentic glomerulonephritis;other;unspecified,chronic nephritic syndrome,0.0
774,774,762,E23,L-Arginine,hypofunction and disorders of pituitary gland,"hypofunction and other disorders of pituitary gland;hypopituitarism;drug-induced hypopituitarism;diabetes insipidus;hypothalamic dysfunction, not elsewhere classified;other disorders of pituitary gland;disorder of pituitary gland, unspecified",hypofunction and disorders of pituitary gland,306.0
775,775,763,I47,Polaprezinc,paroxysmal tachycardia,"paroxysmal tachycardia;reentry ventricular arrhythmia;supraventricular tachycardia;ventricular tachycardia;paroxysmal tachycardia, unspecified",paroxysmal tachycardia,0.0
776,776,764,G20,Hyoscyamine,parkinson's disease,parkinson's disease,parkinson's disease,2.0
777,777,765,D46,Tolcapone,myelodysplastic syndromes,"myelodysplastic syndromes;refractory anaemia without sideroblasts, so stated;refractory anaemia with sideroblasts;refractory anaemia with excess of blasts;refractory anaemia with excess of blasts with transformation;refractory anaemia, unspecified;refractory anaemia with multi-lineage dysplasia;myelodysplastic syndrome with isolated del(5q) chromosomal abnormality;other myelodysplastic syndromes;myelodysplastic syndrome, unspecified",myelodysplastic syndromes,0.0
778,778,766,I84,Eprosartan,haemorrhoids,haemorrhoids;internal thrombosed haemorrhoids;internal haemorrhoids with other complications;internal haemorrhoids without complication;external thrombosed haemorrhoids;external haemorrhoids with other complications;external haemorrhoids without complication;residual haemorrhoidal skin tags;unspecified thrombosed haemorrhoids;unspecified haemorrhoids with other complications;unspecified haemorrhoids without complication,haemorrhoids,0.0
779,779,767,L65,Adinazolam,nonscarring hair loss,"other nonscarring hair loss;telogen effluvium;anagen effluvium;alopecia mucinosa;other specified nonscarring hair loss;nonscarring hair loss, unspecified",nonscarring hair loss,0.0
780,780,768,D69,Triclocarban,purpura and haemorrhagic conditions,"purpura and other haemorrhagic conditions;allergic purpura;qualitative platelet defects;other nonthrombocytopenic purpura;idiopathic thrombocytopenic purpura;other primary thrombocytopenia;secondary thrombocytopenia;thrombocytopenia, unspecified;other specified haemorrhagic conditions;haemorrhagic condition, unspecified",purpura and haemorrhagic conditions,8.0
